Sensor1,Sensor2,Sensor3,Sensor4,Fist,IndexClose,IndexOpen,MiddleClose,MiddleOpen,Open,PinkyClose,PinkyOpen,Relaxed,RingClose,RingOpen,ThumbClose,ThumbOpen
94,81,82,104,1,0,0,0,0,0,0,0,0,0,0,0,0
89,84,77,102,1,0,0,0,0,0,0,0,0,0,0,0,0
87,83,88,101,1,0,0,0,0,0,0,0,0,0,0,0,0
87,77,79,102,1,0,0,0,0,0,0,0,0,0,0,0,0
85,76,70,102,1,0,0,0,0,0,0,0,0,0,0,0,0
88,74,80,105,1,0,0,0,0,0,0,0,0,0,0,0,0
94,82,82,105,1,0,0,0,0,0,0,0,0,0,0,0,0
92,75,75,105,1,0,0,0,0,0,0,0,0,0,0,0,0
92,82,77,103,1,0,0,0,0,0,0,0,0,0,0,0,0
93,81,77,101,1,0,0,0,0,0,0,0,0,0,0,0,0
90,98,78,103,1,0,0,0,0,0,0,0,0,0,0,0,0
94,89,80,106,1,0,0,0,0,0,0,0,0,0,0,0,0
98,90,84,111,1,0,0,0,0,0,0,0,0,0,0,0,0
98,79,77,112,1,0,0,0,0,0,0,0,0,0,0,0,0
96,80,83,113,1,0,0,0,0,0,0,0,0,0,0,0,0
92,95,82,109,1,0,0,0,0,0,0,0,0,0,0,0,0
93,91,91,104,1,0,0,0,0,0,0,0,0,0,0,0,0
90,88,81,106,1,0,0,0,0,0,0,0,0,0,0,0,0
89,91,73,106,1,0,0,0,0,0,0,0,0,0,0,0,0
87,94,83,103,1,0,0,0,0,0,0,0,0,0,0,0,0
88,78,77,102,1,0,0,0,0,0,0,0,0,0,0,0,0
87,81,77,98,1,0,0,0,0,0,0,0,0,0,0,0,0
89,86,81,101,1,0,0,0,0,0,0,0,0,0,0,0,0
91,89,76,101,1,0,0,0,0,0,0,0,0,0,0,0,0
96,83,82,99,1,0,0,0,0,0,0,0,0,0,0,0,0
90,76,80,101,1,0,0,0,0,0,0,0,0,0,0,0,0
92,82,73,101,1,0,0,0,0,0,0,0,0,0,0,0,0
90,76,76,104,1,0,0,0,0,0,0,0,0,0,0,0,0
95,86,83,108,1,0,0,0,0,0,0,0,0,0,0,0,0
96,90,82,111,1,0,0,0,0,0,0,0,0,0,0,0,0
103,88,83,113,1,0,0,0,0,0,0,0,0,0,0,0,0
99,94,88,109,1,0,0,0,0,0,0,0,0,0,0,0,0
95,76,76,109,1,0,0,0,0,0,0,0,0,0,0,0,0
93,88,80,108,1,0,0,0,0,0,0,0,0,0,0,0,0
92,77,84,105,1,0,0,0,0,0,0,0,0,0,0,0,0
91,83,81,102,1,0,0,0,0,0,0,0,0,0,0,0,0
84,80,74,103,1,0,0,0,0,0,0,0,0,0,0,0,0
89,84,83,102,1,0,0,0,0,0,0,0,0,0,0,0,0
93,74,80,99,1,0,0,0,0,0,0,0,0,0,0,0,0
91,88,80,98,1,0,0,0,0,0,0,0,0,0,0,0,0
89,91,82,102,1,0,0,0,0,0,0,0,0,0,0,0,0
89,79,81,103,1,0,0,0,0,0,0,0,0,0,0,0,0
93,86,82,102,1,0,0,0,0,0,0,0,0,0,0,0,0
92,97,79,105,1,0,0,0,0,0,0,0,0,0,0,0,0
92,89,71,105,1,0,0,0,0,0,0,0,0,0,0,0,0
95,79,81,103,1,0,0,0,0,0,0,0,0,0,0,0,0
94,82,87,108,1,0,0,0,0,0,0,0,0,0,0,0,0
97,86,92,109,1,0,0,0,0,0,0,0,0,0,0,0,0
95,93,89,111,1,0,0,0,0,0,0,0,0,0,0,0,0
93,87,83,108,1,0,0,0,0,0,0,0,0,0,0,0,0
97,78,81,110,1,0,0,0,0,0,0,0,0,0,0,0,0
94,82,69,110,1,0,0,0,0,0,0,0,0,0,0,0,0
92,74,71,105,1,0,0,0,0,0,0,0,0,0,0,0,0
94,80,80,104,1,0,0,0,0,0,0,0,0,0,0,0,0
92,77,75,103,1,0,0,0,0,0,0,0,0,0,0,0,0
87,83,70,100,1,0,0,0,0,0,0,0,0,0,0,0,0
88,79,82,102,1,0,0,0,0,0,0,0,0,0,0,0,0
90,80,78,107,1,0,0,0,0,0,0,0,0,0,0,0,0
93,87,91,100,1,0,0,0,0,0,0,0,0,0,0,0,0
95,74,88,101,1,0,0,0,0,0,0,0,0,0,0,0,0
88,90,82,101,1,0,0,0,0,0,0,0,0,0,0,0,0
89,87,81,104,1,0,0,0,0,0,0,0,0,0,0,0,0
